Saat,Yuk Tahmin Plani (MWh),Ikili Anlasma (MWh),PTF (TL/MWh)Okuma Yukumlulu,SAM (MWh),SSM(MWh),KGUP (MWh),SMF (TL/MWh),YAL (0) Kodlu (MWh),YAL (1) Kodlu (MWh),YAL (2) Kodlu (MWh),YAL Teslim Edilmeyen (MWh),YAT (0) Kodlu (MWh),YAT (1) Kodlu (MWh),YAT (2) Kodlu (MWh),YAT Teslim Edilmeyen (MWh),KARAPINAR_Windy Estimated Cloudiness Rate (%),KARAPINAR_Windy Final (%),KARAPINAR_Final Production (MWh),KARAPINAR_KGUP (MWh),KARAPINAR_Actual KGUP (MWh),KIVANC_Windy Estimated Cloudiness Rate (%),KIVANC_Windy Final (%),KIVANC_Final Production (MWh),KIVANC_KGUP (MWh),KIVANC_Actual KGUP (MWh),TEKSIN_Windy Estimated Cloudiness Rate (%),TEKSIN_Windy Final (%),TEKSIN_Final Production (MWh),TEKSIN_KGUP (MWh),TEKSIN_Actual KGUP (MWh),CINGILLI_Windy Estimated Cloudiness Rate (%),CINGILLI_Windy Final (%),CINGILLI_Final Production (MWh),CINGILLI_KGUP (MWh),CINGILLI_Actual KGUP (MWh),BUYUKALAN_Windy Estimated Cloudiness Rate (%),BUYUKALAN_Windy Final (%),BUYUKALAN_Final Production (MWh),BUYUKALAN_KGUP (MWh),BUYUKALAN_Actual KGUP (MWh),Balikesir_Windy Estimated Wind Rate (m/s),Balikesir_Windy Final (m/s),Balikesir_Final Production (MWh),Balikesir_KGUP (MWh),Balikesir_Actual KGUP (MWh),Gokcedag_Windy Estimated Wind Rate (m/s),Gokcedag_Windy Final (m/s),Gokcedag_Final Production (MWh),Gokcedag_KGUP (MWh),Gokcedag_Actual KGUP (MWh),Dinar_Windy Estimated Wind Rate (m/s),Dinar_Windy Final (m/s),Dinar_Final Production (MWh),Dinar_KGUP (MWh),Dinar_Actual KGUP (MWh),Ucpinar_Windy Estimated Wind Rate (m/s),Ucpinar_Windy Final (m/s),Ucpinar_Final Production (MWh),Ucpinar_KGUP (MWh),Ucpinar_Actual KGUP (MWh),Geycek_Windy Estimated Wind Rate (m/s),Geycek_Windy Final (m/s),Geycek_Final Production (MWh),Geycek_KGUP (MWh),Geycek_Actual KGUP (MWh),TALEP_Yuk Tahmin Plani (MWh)
27/04/2021 00:00,34226.00,31400.50,325.94,21980.50,21980.50,31669.89,355.94,651.00,0.00,0.00,134.68,106.00,0.00,0.00,0.00,10,10,0,0,0,0,0,0,0,0,44,49,0,0,0,,57,0,0,0,0,0,0,0,0,2,2,13,,19.20,1,1,102,,98.13,2,2,32,,39.60,2,2,35.94,,26.70,5,5,107,,120.08,34226.00
27/04/2021 01:00,32910.00,27333.10,331.03,23674.10,23674.10,30531.04,361.03,622.83,0.00,0.00,137.71,50.67,0.00,0.00,0.00,10,10,0,0,0,0,0,0,0,0,84,82,0,0,0,,57,0,0,0,0,0,0,0,0,2,2,2,,8.40,1,1,100,,93.10,2,2,13,,58.20,3,2,33.59,,18.70,3,5,100,,92.80,32910.00
27/04/2021 02:00,32334.00,26758.60,331.13,23621.90,23621.90,29899.17,361.13,565.00,0.00,0.00,109.61,0.00,0.00,0.00,0.00,16,16,0,0,0,0,0,0,0,0,84,82,0,0,0,,61,0,0,0,0,0,0,0,0,1,1,0,,2.90,1,1,98,,93.10,2,2,6,,47.40,3,3,39.94,,19.50,3,4,72,,81.40,32334.00
27/04/2021 03:00,32269.00,26769.50,331.20,23437.80,23437.80,29652.16,358.00,565.00,0.00,0.00,101.75,135.00,0.00,0.00,0.00,16,16,0,0,0,0,0,0,0,0,84,82,0,0,0,,61,0,0,0,0,0,0,0,0,1,1,0,,1.90,1,1,100,,91.20,2,2,6,,37.40,3,3,39,,15.50,3,4,53,,70.40,32269.00
27/04/2021 04:00,31823.00,26725.70,328.71,22844.10,22844.10,29087.80,358.71,451.00,0.00,0.00,80.18,0.00,0.00,0.00,0.00,4,4,0,0,0,0,0,0,0,0,89,82,0,0,0,,61,0,0,0,0,0,0,0,0,1,1,1,,3.20,1,1,96,,88.35,1,2,6,,30.00,3,3,16.91,,10.60,3,4,42,,59.20,31823.00
27/04/2021 05:00,30461.00,26336.70,325.01,21909.80,21909.70,27848.70,355.01,555.17,0.00,0.00,71.00,130.50,0.00,0.00,0.00,4,4,0,0,0,0,0,0,0,0,89,94,0,0,0,,90,0,0,0,0,0,0,1.2,0,1,1,4,,4.60,1,1,95,,84.55,1,1,5,,24.40,2,3,2.59,,6.30,2,2,20,,44.90,30461.00
27/04/2021 06:00,28430.00,25506.30,320.28,21924.50,21924.50,26403.35,350.28,451.00,0.00,0.00,78.59,0.00,0.00,0.00,0.00,4,4,3.47,14.6,14.6,0,0,3.47,0.7,0.7,89,94,0.21,0.5,0.5,,90,0.79,0.4,0.5,0,0,0,4.7,0.5,1,1,7,,7.10,1,1,96,,81.70,1,1,6,,21.30,2,3,0.03,,5.70,2,2,2,,29.30,28430.00
27/04/2021 07:00,29761.00,25729.40,322.23,23200.40,23200.40,27093.52,362.23,660.47,0.00,0.00,105.99,0.00,0.00,0.00,0.00,4,4,23.86,75.6,75.6,0,0,23.86,10,10,89,94,1.51,2.8,2.5,,90,6.91,3,2.5,0,0,0.03,7.3,2.5,1,1,14,,8.20,1,1,95,,80.75,1,1,5,,15.60,2,3,1.38,,5.40,2,2,0,,15.10,29761.00
27/04/2021 08:00,34656.00,27154.30,331.68,25711.00,25710.90,29590.40,361.68,1123.25,0.00,0.00,110.32,274.45,0.00,0.00,7.00,10,10,46.58,178.3,178.3,0,0,46.58,15.55,15.55,40,43,5.78,6.1,5.9,,14,14.06,8.6,5.9,0,0,0.07,9.3,5.9,1,1,17,,7.60,2,2,87,,81.70,1,1,4.13,,9.20,1,1,0.06,,4.60,2,2,0,,5.90,34656.00
27/04/2021 09:00,37358.00,30161.70,334.99,25231.50,25231.40,31613.64,364.99,675.00,0.00,0.00,143.93,0.00,0.00,0.00,0.00,10,10,120.71,178.3,178.3,0,0,120.71,15.55,15.55,40,43,10.27,12.5,13.3,,14,21.43,15.4,13.3,0,0,0.15,10.3,13.3,1,1,4,,7.00,2,2,84,,83.60,1,1,1.13,,4.80,1,1,0,,2.60,0,2,0,,2.10,37358.00
