,tarih,saat,demand
0,01/02/2018,00:00,33700
1,01/02/2018,01:00,31500
2,01/02/2018,02:00,30200
3,01/02/2018,03:00,29100
4,01/02/2018,04:00,29100
5,01/02/2018,05:00,29300
6,01/02/2018,06:00,30300
7,01/02/2018,07:00,32300
8,01/02/2018,08:00,36700
9,01/02/2018,09:00,39200
10,01/02/2018,10:00,39300
11,01/02/2018,11:00,39300
12,01/02/2018,12:00,37200
13,01/02/2018,13:00,37400
14,01/02/2018,14:00,37600
15,01/02/2018,15:00,37100
16,01/02/2018,16:00,37500
17,01/02/2018,17:00,38400
18,01/02/2018,18:00,39400
19,01/02/2018,19:00,39100
20,01/02/2018,20:00,38200
21,01/02/2018,21:00,37200
22,01/02/2018,22:00,36400
23,01/02/2018,23:00,35400
24,02/02/2018,00:00,33700
25,02/02/2018,01:00,31500
26,02/02/2018,02:00,30200
27,02/02/2018,03:00,29100
28,02/02/2018,04:00,29100
29,02/02/2018,05:00,29300
30,02/02/2018,06:00,30300
31,02/02/2018,07:00,32300
32,02/02/2018,08:00,36700
33,02/02/2018,09:00,39200
34,02/02/2018,10:00,39300
35,02/02/2018,11:00,39300
36,02/02/2018,12:00,37000
37,02/02/2018,13:00,37000
38,02/02/2018,14:00,37600
39,02/02/2018,15:00,37100
40,02/02/2018,16:00,37500
41,02/02/2018,17:00,38400
42,02/02/2018,18:00,39400
43,02/02/2018,19:00,39100
44,02/02/2018,20:00,38200
45,02/02/2018,21:00,37200
46,02/02/2018,22:00,36400
47,02/02/2018,23:00,35400
48,03/02/2018,00:00,33900
49,03/02/2018,01:00,31800
50,03/02/2018,02:00,30200
51,03/02/2018,03:00,29400
52,03/02/2018,04:00,29000
53,03/02/2018,05:00,29200
54,03/02/2018,06:00,29700
55,03/02/2018,07:00,30800
56,03/02/2018,08:00,33800
57,03/02/2018,09:00,37100
58,03/02/2018,10:00,38200
59,03/02/2018,11:00,38700
60,03/02/2018,12:00,37600
61,03/02/2018,13:00,37600
62,03/02/2018,14:00,37100
63,03/02/2018,15:00,36400
64,03/02/2018,16:00,36100
65,03/02/2018,17:00,36600
66,03/02/2018,18:00,38100
67,03/02/2018,19:00,37900
68,03/02/2018,20:00,36900
69,03/02/2018,21:00,35800
70,03/02/2018,22:00,35500
71,03/02/2018,23:00,34600
72,04/02/2018,00:00,32500
73,04/02/2018,01:00,30500
74,04/02/2018,02:00,28900
75,04/02/2018,03:00,27900
76,04/02/2018,04:00,27300
77,04/02/2018,05:00,27300
78,04/02/2018,06:00,27300
79,04/02/2018,07:00,27400
80,04/02/2018,08:00,27300
81,04/02/2018,09:00,28600
82,04/02/2018,10:00,29700
83,04/02/2018,11:00,30400
84,04/02/2018,12:00,30400
85,04/02/2018,13:00,30700
86,04/02/2018,14:00,30100
87,04/02/2018,15:00,30400
88,04/02/2018,16:00,31100
89,04/02/2018,17:00,32200
90,04/02/2018,18:00,34500
91,04/02/2018,19:00,34800
92,04/02/2018,20:00,34300
93,04/02/2018,21:00,33600
94,04/02/2018,22:00,33500
95,04/02/2018,23:00,32500
96,05/02/2018,00:00,31000
97,05/02/2018,01:00,29400
98,05/02/2018,02:00,28100
99,05/02/2018,03:00,27600
100,05/02/2018,04:00,27300
101,05/02/2018,05:00,27700
102,05/02/2018,06:00,28900
103,05/02/2018,07:00,32700
104,05/02/2018,08:00,37600
105,05/02/2018,09:00,40700
106,05/02/2018,10:00,41400
107,05/02/2018,11:00,41700
108,05/02/2018,12:00,39900
109,05/02/2018,13:00,40000
110,05/02/2018,14:00,40300
111,05/02/2018,15:00,39900
112,05/02/2018,16:00,40300
113,05/02/2018,17:00,41000
114,05/02/2018,18:00,41200
115,05/02/2018,19:00,40000
116,05/02/2018,20:00,39000
117,05/02/2018,21:00,37900
118,05/02/2018,22:00,37200
119,05/02/2018,23:00,36000
120,06/02/2018,00:00,33400
121,06/02/2018,01:00,31600
122,06/02/2018,02:00,30300
123,06/02/2018,03:00,29500
124,06/02/2018,04:00,29400
125,06/02/2018,05:00,29700
126,06/02/2018,06:00,30700
127,06/02/2018,07:00,33400
128,06/02/2018,08:00,37900
129,06/02/2018,09:00,41000
130,06/02/2018,10:00,41600
131,06/02/2018,11:00,41900
132,06/02/2018,12:00,40500
133,06/02/2018,13:00,40900
134,06/02/2018,14:00,41200
135,06/02/2018,15:00,41200
136,06/02/2018,16:00,41400
137,06/02/2018,17:00,41700
138,06/02/2018,18:00,41300
139,06/02/2018,19:00,40000
140,06/02/2018,20:00,39000
141,06/02/2018,21:00,37800
142,06/02/2018,22:00,37300
143,06/02/2018,23:00,35700
144,07/02/2018,00:00,33500
145,07/02/2018,01:00,31300
146,07/02/2018,02:00,29800
147,07/02/2018,03:00,28800
148,07/02/2018,04:00,28600
149,07/02/2018,05:00,28800
150,07/02/2018,06:00,29800
151,07/02/2018,07:00,31900
152,07/02/2018,08:00,36100
153,07/02/2018,09:00,38700
154,07/02/2018,10:00,39000
155,07/02/2018,11:00,39100
156,07/02/2018,12:00,37700
157,07/02/2018,13:00,37700
158,07/02/2018,14:00,37700
159,07/02/2018,15:00,37500
160,07/02/2018,16:00,37700
161,07/02/2018,17:00,37700
162,07/02/2018,18:00,38700
163,07/02/2018,19:00,38300
164,07/02/2018,20:00,37800
165,07/02/2018,21:00,36700
166,07/02/2018,22:00,36100
167,07/02/2018,23:00,34800
168,08/02/2018,00:00,32200
169,08/02/2018,01:00,30100
170,08/02/2018,02:00,29100
171,08/02/2018,03:00,28400
172,08/02/2018,04:00,28300
173,08/02/2018,05:00,28700
174,08/02/2018,06:00,29900
175,08/02/2018,07:00,32400
176,08/02/2018,08:00,36700
177,08/02/2018,09:00,38300
178,08/02/2018,10:00,38300
179,08/02/2018,11:00,38600
180,08/02/2018,12:00,36200
181,08/02/2018,13:00,36200
182,08/02/2018,14:00,36500
183,08/02/2018,15:00,36300
184,08/02/2018,16:00,36800
185,08/02/2018,17:00,37600
186,08/02/2018,18:00,38600
187,08/02/2018,19:00,38500
188,08/02/2018,20:00,37700
189,08/02/2018,21:00,36700
190,08/02/2018,22:00,35900
191,08/02/2018,23:00,34300
192,09/02/2018,00:00,32100
193,09/02/2018,01:00,29900
194,09/02/2018,02:00,28900
195,09/02/2018,03:00,28200
196,09/02/2018,04:00,28100
197,09/02/2018,05:00,28500
198,09/02/2018,06:00,29700
199,09/02/2018,07:00,32200
200,09/02/2018,08:00,36500
201,09/02/2018,09:00,38100
202,09/02/2018,10:00,38100
203,09/02/2018,11:00,38400
204,09/02/2018,12:00,35800
205,09/02/2018,13:00,35800
206,09/02/2018,14:00,36300
207,09/02/2018,15:00,36100
208,09/02/2018,16:00,36600
209,09/02/2018,17:00,37400
210,09/02/2018,18:00,38400
211,09/02/2018,19:00,38300
212,09/02/2018,20:00,37500
213,09/02/2018,21:00,36500
214,09/02/2018,22:00,35700
215,09/02/2018,23:00,34100
216,10/02/2018,00:00,31600
217,10/02/2018,01:00,30200
218,10/02/2018,02:00,28900
219,10/02/2018,03:00,28300
220,10/02/2018,04:00,28200
221,10/02/2018,05:00,28300
222,10/02/2018,06:00,29000
