"tarih","saat","YukTahminPlan(MWh)","PTF(TL/MWh)","SMF(TL/MWh)","KGUP(TL/MWh)","YAL0(TL/MWh)","YAL1(TL/MWh)","YAT0(TL/MWh)","YAT1(TL/MWh)","YAL TeslimEdilemeyenMiktar(MWh)","YAT TeslimEdilemeyenMiktar(MWh)","PFK Fiyat","SFK Fiyat"
"201802",0,"33700","217.12","217.12","31061.72","129.602","0","80.833","0","3.52","4","80.02","79.89"
"201802",1,"31500","203.28","213.2","28579.52","856.082","0","0","0","197.56","0","80.02","79.89"
"201802",2,"30200","175.04","175.04","27152.95",NULL,NULL,NULL,NULL,NULL,NULL,"80.02","79.89"
"201802",3,"29100","178.01","128","26367.11","0","0","943.95","0","0","155.43","80.02","79.89"
"201802",4,"29100","132.1","125","26151.66","0","0","515.5","0","0","18.31","70.02","98.01"
"201802",5,"29300","168.84","140","26377.46","0","0","829.7","0","0","176.09","70.02","98.01"
"201802",6,"30300","175.05","105","27310.5","0","0","1409.7","0","0","238.53","70.02","98.01"
"201802",7,"32300","215.84","120.01","29656.47","0","0","1679.234","0","0","167.77","70.02","98.01"
"201802",8,"36700","215.89","140","33434.32","830.167","0","1572.5","0","104.71","168.15","99.99","59.93"
"201802",9,"39200","217.73","130","36058.38","293.652","0","1764.948","0","13.7","154.14","99.99","59.93"
"201802",10,"39300","216.78","130","36222.96","0","0","1631","0","0","167.57","99.99","59.93"
"201802",11,"39300","216.67","130","36510.21","0","0","1634.8","0","0","150","99.99","59.93"
"201802",12,"37200","169.99","124","34682.37","0","0","2275.344","0","0","714.53","99.99","58.14"
"201802",13,"37400","175.04","121.4","34771.42","0","0","2227.9","0","0","530.89","99.99","58.14"
"201802",14,"37600","175.05","125","35095.9","0","0","1720.05","0","0","531.74","99.99","58.14"
"201802",15,"37100","169.99","121.4","35259.81","0","0","2579.984","0","0","543.69","99.99","58.14"
"201802",16,"37500","215.24","130","35610.72","29.333","0","2293.017","0","0","447.29","90","54.42"
"201802",17,"38400","184","125","36072.07","0","0","2229.633","0","0","721.63","90","54.42"
"201802",18,"39400","184","124","36619.24","0","0","2412","0","0","799.88","90","54.42"
"201802",19,"39100","175.05","125","35812.45","0","0","2204.5","0","0","777.67","90","54.42"
"201802",20,"38200","189.96","125","34746.18","0","0","2125","0","0","748.71","80.01","58.14"
"201802",21,"37200","149","130","33747.71","0","0","1159.399","0","0","354.32","80.01","58.14"
"201802",22,"36400","168.84","120","33533.17","0","0","1448.051","0","0","269.584","80.01","58.14"
"201802",23,"35400","129.99","114","32153.68","49.2","0","930.619","0","0.767","160.32","80.01","58.14"
"201802",0,"33700","205.05","174.53","30325.38","34.1","0","180","0","10","0","80","65.3"
"201802",1,"31500","166","166","28115.89","183.333","0","0","0",NULL,"0","80","65.3"
"201802",2,"30200","125.01","125.01","26971.75",NULL,NULL,NULL,NULL,NULL,NULL,"80","65.3"
"201802",3,"29100","130","130","26104.91",NULL,NULL,NULL,NULL,NULL,NULL,"80","65.3"
"201802",4,"29100","130","121.05","26101.44","0","0","127.999","0","0","1.453","70","69.71"
"201802",5,"29300","130","121","26230.67","0","0","505.883","0","0","25.6","70","69.71"
"201802",6,"30300","174.5","121.05","27015.2","0","0","1073.062","0","0","149.12","70","69.71"
"201802",7,"32300","191.92","125","29065.76","147.567","0","1345.415","0","1.887","193.763","70","69.71"
"201802",8,"36700","174.99","128.29","33131.81","702.501","0","1366.685","0","26.88","84.308","69.8","56.89"
"201802",9,"39200","215.23","215.23","35827.78",NULL,NULL,NULL,NULL,NULL,NULL,"69.8","56.89"
"201802",10,"39300","204.79","182","36258.34","9","0","659","0","1.309","13.92","69.8","56.89"
"201802",11,"39300","204.79","204","36513.11","0","0","472","0","0",NULL,"69.8","56.89"
"201802",12,"37000","174.04","174.04","34767.39","104.167","0","260.065","0","0","45.546","69.8","47.16"
"201802",13,"37000","130","121.05","33719.93","0","0","491.582","0","0","1.1","69.8","47.16"
"201802",14,"37600","174.99","170","35159.01","0","0","483.084","0","0","52.967","69.8","47.16"
"201802",15,"37100","175","175","35186.6",NULL,NULL,NULL,NULL,NULL,NULL,"69.8","47.16"
"201802",16,"37500","215.38","216","35356.18","279.966","0","0","0","56.851","0","69.8","48.8"
"201802",17,"38400","179.84","191.81","35756.29","1115.983","0","0","0","385.06","0","69.8","48.8"
"201802",18,"39400","199.99","209","36376.86","1063.417","0","0","0","349.941","0","69.8","48.8"
"201802",19,"39100","175","175","35819.67","441.666","0","0","0","215.937","0","69.8","48.8"
"201802",20,"38200","215.65","215.65","34647.96","816.599","0","501.534","0","40.533","137.151","69.8","58.9"
"201802",21,"37200","178.6","121.05","33911.09","0","0","1101","0","0","216.79","69.8","58.9"
"201802",22,"36400","190","121.05","33702.58","0","0","1195.8","0","0","234.044","69.8","58.9"
"201802",23,"35400","137","125","32547.9","0","0","180.727","0","0","0.02","69.8","58.9"
"201802",0,"33900","201.64","131.74","30780.66","0","0","931.801","0","0","195.631","58.8","77.8"
"201802",1,"31800","179.98","179.98","28492.25","152.667","0","0","0","21.689","0","58.8","77.8"
"201802",2,"30200","140","140","27190.23",NULL,NULL,NULL,NULL,NULL,NULL,"58.8","77.8"
"201802",3,"29400","159.66","159.66","26232.72","32.7","0","0","0","4.025","0","58.8","77.8"
"201802",4,"29000","159.65","159.65","26029.07",NULL,NULL,NULL,NULL,NULL,NULL,"58.8","74.8"
"201802",5,"29200","149.95","149.95","26100.85",NULL,NULL,NULL,NULL,NULL,NULL,"58.8","74.8"
"201802",6,"29700","172.99","170","26497","0","0","389.334","0","0","86.09","58.8","74.8"
"201802",7,"30800","149.94","149.94","27374.27","326.5","0","359.818","0","62.833","84.592","58.8","74.8"
"201802",8,"33800","149.95","149.94","30173.87","402.601","0","617.634","0","21.598","18.211","58.8","59.8"
"201802",7,"29800","139.22","139.22","27607.51",NULL,NULL,NULL,NULL,NULL,NULL,"29","98.14"
"201802",9,"37100","210.06","210.06","32630.03","367.334","0","150.733","0","315.882","1.256","58.8","59.8"
"201802",10,"38200","215.61","215.61","33153.14","70.834","0","83.333","0","8.334","0","58.8","59.8"
"201802",21,"37900","183.98","183.98","33785.18",NULL,NULL,NULL,NULL,NULL,NULL,"54.9","45.01"
"201802",11,"38700","216.27","216.27","33714.33","483.901","0","70.834","0","282.478","0","58.8","59.8"
"201802",12,"37600","215.41","215.41","32666.02","1327.95","0","25","0","741.273","6","58.13","50.02"
"201802",13,"37600","204.8","204.8","32709.13","633","0","0","0","300","0","58.13","50.02"
"201802",14,"37100","164","178","32388.42","1024.85","0","0","0","273.551","0","58.13","50.02"
"201802",15,"36400","149.67","164.67","31800.23","779","0","0","0","78.72","0","58.13","50.02"
"201802",16,"36100","130.07","145.07","31757.68","677.05","0","0","0","110.22","0","58.13","58"
"201802",17,"36600","125.01","125.01","32347.66","0","0","62.5","0","0",NULL,"58.13","58"
"201802",18,"38100","210.01","210.01","33762.68","666","0","70.833","0","369.94","0","58.13","58"
"201802",19,"37900","215.4","215.4","33576.31","338.417","0","119.5","0","167.1","5.85","58.13","58"
"201802",20,"36900","216.24","190","32677.01","0","0","312.333","0","0","2.85","58.13","60"
"201802",21,"35800","215.29","215.29","32046.44","0","0","37.216","0","0","0.25","58.13","60"
"201802",22,"35500","169.08","168.08","31649.44","0","0","122.583","0","0","2","58.13","60"
"201802",23,"34600","98.94","98.94","30637.57","0","0","19.466","0","0","1","58.13","60"
"201802",0,"32500","205.79","125","29082.19","0","0","1296.315","0","0","165.027","54.9","79.98"
"201802",1,"30500","130","130","26803.57","282.499","0","737","0","15.379","68.867","54.9","79.98"
"201802",2,"28900","88.26","104.58","25137.9","344.785","0","63.483","0","6.118","0","54.9","79.98"
"201802",3,"27900","98.95","115.28","24094.01","461.482","0","88","0","76.169","21.4","54.9","79.98"
"201802",4,"27300","125.01","126","23971.6","306.15","0","124.167","0","90.586","0","54.9","98.04"
"201802",5,"27300","125","113","23920.18","0","0","298","0","0",NULL,"54.9","98.04"
"201802",6,"27300","144.95","120","24004.34","0","0","275","0","0","0","54.9","98.04"
"201802",7,"27400","129.99","113","24107.93","0","0","206.282","0","0","20.583","54.9","98.04"
"201802",8,"27300","129.99","105","24255.05","0","0","933.1","0","0","92.888","49.9","87.17"
"201802",9,"28600","125.01","113","25506.84","0","0","763.651","0","0","5.685","49.9","87.17"
"201802",10,"29700","200.99","170.53","26791.83","0","0","583.584","0","0","8.446","49.9","87.17"
"201802",11,"30400","205.8","175.53","27643.11","0","0","602.599","0","0","0.13","49.9","87.17"
"201802",12,"30400","125","125","27166.52","0","0","38.499","0","0",NULL,"59.9","80"
"201802",13,"30700","125","135.26","27204.32","557.567","0","0","0","194.44","0","59.9","80"
"201802",14,"30100","98.94","119","26786.85","821.634","0","0","0","99.557","0","59.9","80"
"201802",15,"30400","29.99","79.99","26783.31","1126.334","0","0","0","143.878","0","59.9","80"
"201802",16,"31100","65.01","85","27227.97","495.967","0","0","0","15.187","0","59.9","73.8"
"201802",17,"32200","129.99","113","28513.63","141.066","0","547.25","0","75.566","4.8","59.9","73.8"
"201802",18,"34500","215.38","184.53","30598.74","0","0","468","0","0","9","59.9","73.8"
"201802",19,"34800","218.02","160","31199.13","0","0","1215.717","0","0","231.612","59.9","73.8"
"201802",20,"34300","217.05","125","30634.07","0","0","1810.999","0","0","313.945","54.9","80.08"
"201802",21,"33600","216.62","122.01","29928.95","0","0","1840.4","0","0","240.518","54.9","80.08"
"201802",22,"33500","215.59","156.69","29358.24","0","0","1158","0","0","150.08","54.9","80.08"
"201802",23,"32500","185","160","28397.6","0","0","164.332","0","0","5","54.9","80.08"
"201802",0,"31000","184.98","126.01","27841.09","0","0","1135.21","0","0","116.31","54.9","66.67"
"201802",1,"29400","178.98","126.01","25835.07","0","0","1123.017","0","0","389.653","54.9","66.67"
"201802",2,"28100","178.99","126.11","24987.72","71.5","0","633.4","0","0.011","81.91","54.9","66.67"
"201802",3,"27600","161.99","113","24375.58","0","0","1161.4","0","0","235.21","54.9","66.67"
"201802",4,"27300","168.91","114","24142.27","0","0","1075","0","0","170.43","54.9","66.98"
"201802",5,"27700","178.98","120","24329.75","0","0","1072.548","0","0","176.743","54.9","66.98"
"201802",6,"28900","184.98","126.01","25120.16","0","0","1047.7","0","0","82.766","54.9","66.98"
"201802",7,"32700","169.11","169.11","27475.21","698.686","0","519.099","0","157.262","263.709","54.9","66.98"
"201802",8,"37600","174.99","183.88","32299.71","595.25","0","242.55","0","96.31","0.137","55.15","58.98"
"201802",9,"40700","216.57","230","35195.54","989","0","42.467","0","232.226","1","55.15","58.98"
