Saat,Yuk Tahmin Plani (MWh),Ikili Anlasma (MWh),PTF (TL/MWh)Okuma Yukumlulu,SAM (MWh),SSM(MWh),KGUP (MWh),SMF (TL/MWh),YAL (0) Kodlu (MWh),YAL (1) Kodlu (MWh),YAL (2) Kodlu (MWh),YAL Teslim Edilmeyen (MWh),YAT (0) Kodlu (MWh),YAT (1) Kodlu (MWh),YAT (2) Kodlu (MWh),YAT Teslim Edilmeyen (MWh)
01.02.2018 00:00,33700.00,29604.90,217.12,15591.80,15591.70,31071.02,217.12,129.60,0.00,0.00,3.52,80.83,0.00,0.00,4.00
01.02.2018 01:00,31500.00,27444.50,203.28,14420.00,14419.90,28615.62,213.20,856.08,0.00,0.00,197.56,0.00,0.00,0.00,0.00
01.02.2018 02:00,30200.00,33451.80,175.04,14960.30,14960.30,27200.96,175.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01.02.2018 03:00,29100.00,32624.60,178.01,14416.90,14416.90,26372.32,128.00,0.00,0.00,0.00,0.00,943.95,0.00,0.00,155.43
01.02.2018 04:00,29100.00,32504.40,132.10,14635.30,14635.20,26174.06,125.00,0.00,0.00,0.00,0.00,515.50,0.00,0.00,18.31
01.02.2018 05:00,29300.00,32901.40,168.84,14749.70,14749.80,26374.31,140.00,0.00,0.00,0.00,0.00,829.70,0.00,0.00,176.09
01.02.2018 06:00,30300.00,25780.90,175.05,16127.90,16127.90,27311.90,105.00,0.00,0.00,0.00,0.00,1409.70,0.00,0.00,238.53
01.02.2018 07:00,32300.00,26626.80,215.84,17041.00,17040.90,29772.78,120.01,0.00,0.00,0.00,0.00,1679.23,0.00,0.00,167.77
01.02.2018 08:00,36700.00,29316.30,215.89,18829.90,18829.90,33522.48,140.00,830.17,0.00,0.00,104.71,1572.50,0.00,0.00,168.15
01.02.2018 09:00,39200.00,31753.30,217.73,20486.00,20486.00,36141.37,130.00,293.65,0.00,0.00,13.70,1764.95,0.00,0.00,154.14
01.02.2018 10:00,39300.00,32923.40,216.78,20872.80,20872.70,36387.76,130.00,0.00,0.00,0.00,0.00,1631.00,0.00,0.00,167.57
01.02.2018 11:00,39300.00,33629.50,216.67,20921.50,20921.40,36600.40,130.00,0.00,0.00,0.00,0.00,1634.80,0.00,0.00,150.00
01.02.2018 12:00,37200.00,33167.50,169.99,20194.10,20194.30,34940.66,124.00,0.00,0.00,0.00,0.00,2275.34,0.00,0.00,714.53
01.02.2018 13:00,37400.00,32714.70,175.04,20327.50,20327.50,35100.62,121.40,0.00,0.00,0.00,0.00,2227.90,0.00,0.00,530.89
01.02.2018 14:00,37600.00,32657.90,175.05,20191.00,20191.10,35390.03,125.00,0.00,0.00,0.00,0.00,1720.05,0.00,0.00,531.74
01.02.2018 15:00,37100.00,32415.90,169.99,19861.30,19861.40,35289.42,121.40,0.00,0.00,0.00,0.00,2579.98,0.00,0.00,543.69
01.02.2018 16:00,37500.00,32248.10,215.24,19605.90,19605.80,35743.93,130.00,29.33,0.00,0.00,0.00,2293.02,0.00,0.00,447.29
01.02.2018 17:00,38400.00,34198.60,184.00,18818.70,18818.70,36205.56,125.00,0.00,0.00,0.00,0.00,2229.63,0.00,0.00,721.63
01.02.2018 18:00,39400.00,35131.30,184.00,18712.20,18712.20,36788.24,124.00,0.00,0.00,0.00,0.00,2412.00,0.00,0.00,799.88
01.02.2018 19:00,39100.00,34992.10,175.05,18446.30,18446.40,36226.15,125.00,0.00,0.00,0.00,0.00,2204.50,0.00,0.00,777.67
01.02.2018 20:00,38200.00,33787.50,189.96,18071.10,18071.10,35162.57,125.00,0.00,0.00,0.00,0.00,2125.00,0.00,0.00,748.71
01.02.2018 21:00,37200.00,32954.10,149.00,17570.00,17569.90,34255.71,130.00,0.00,0.00,0.00,0.00,1159.40,0.00,0.00,354.32
01.02.2018 22:00,36400.00,33478.90,168.84,16657.90,16657.90,33904.87,120.00,0.00,0.00,0.00,0.00,1448.05,0.00,0.00,269.58
01.02.2018 23:00,35400.00,32289.90,129.99,16106.60,16106.60,32704.77,114.00,49.20,0.00,0.00,0.77,930.62,0.00,0.00,160.32
02.02.2018 00:00,33700.00,30339.90,205.05,16217.70,16217.80,30503.47,174.53,34.10,0.00,0.00,10.00,180.00,0.00,0.00,0.00
02.02.2018 01:00,31500.00,28330.00,166.00,15449.30,15449.30,28249.69,166.00,183.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02.02.2018 02:00,30200.00,33958.80,125.01,15989.10,15989.30,27130.15,125.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02.02.2018 03:00,29100.00,33270.00,130.00,15652.90,15653.00,26214.61,130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02.02.2018 04:00,29100.00,33070.70,130.00,15731.10,15731.20,26213.74,121.05,0.00,0.00,0.00,0.00,128.00,0.00,0.00,1.45
02.02.2018 05:00,29300.00,33525.30,130.00,15838.70,15838.80,26340.47,121.00,0.00,0.00,0.00,0.00,505.88,0.00,0.00,25.60
02.02.2018 06:00,30300.00,26390.20,174.50,17110.40,17110.30,27127.10,121.05,0.00,0.00,0.00,0.00,1073.06,0.00,0.00,149.12
02.02.2018 07:00,32300.00,27033.00,191.92,17751.20,17751.20,29170.26,125.00,147.57,0.00,0.00,1.89,1345.41,0.00,0.00,193.76
02.02.2018 08:00,36700.00,29303.30,174.99,20097.00,20097.00,33805.51,128.29,702.50,0.00,0.00,26.88,1366.68,0.00,0.00,84.31
02.02.2018 09:00,39200.00,32012.60,215.23,21431.40,21431.30,36265.78,215.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02.02.2018 10:00,39300.00,33202.30,204.79,21799.20,21799.10,36559.14,182.00,9.00,0.00,0.00,1.31,659.00,0.00,0.00,13.92
02.02.2018 11:00,39300.00,33542.80,204.79,21878.10,21878.10,36884.81,204.00,0.00,0.00,0.00,0.00,472.00,0.00,0.00,0.00
02.02.2018 12:00,37000.00,32903.10,174.04,20830.50,20830.50,35099.79,174.04,104.17,0.00,0.00,0.00,260.06,0.00,0.00,45.55
02.02.2018 13:00,37000.00,32164.70,130.00,20466.30,20466.30,34165.23,121.05,0.00,0.00,0.00,0.00,491.58,0.00,0.00,1.10
02.02.2018 14:00,37600.00,32427.20,174.99,20980.90,20980.90,35598.31,170.00,0.00,0.00,0.00,0.00,483.08,0.00,0.00,52.97
02.02.2018 15:00,37100.00,32088.30,175.00,20588.70,20588.70,35393.90,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02.02.2018 16:00,37500.00,32317.90,215.38,20009.40,20009.30,35607.28,216.00,279.97,0.00,0.00,56.85,0.00,0.00,0.00,0.00
02.02.2018 17:00,38400.00,34356.00,179.84,19148.30,19148.30,36014.39,191.81,1115.98,0.00,0.00,385.06,0.00,0.00,0.00,0.00
02.02.2018 18:00,39400.00,34992.10,199.99,19297.90,19297.80,36644.86,209.00,1063.42,0.00,0.00,349.94,0.00,0.00,0.00,0.00
02.02.2018 19:00,39100.00,34744.00,175.00,19158.90,19158.80,36173.17,175.00,441.67,0.00,0.00,215.94,0.00,0.00,0.00,0.00
02.02.2018 20:00,38200.00,34424.60,215.65,18894.10,18894.10,35016.36,215.65,816.60,0.00,0.00,40.53,501.53,0.00,0.00,137.15
02.02.2018 21:00,37200.00,33303.20,178.60,18626.00,18626.20,34069.49,121.05,0.00,0.00,0.00,0.00,1101.00,0.00,0.00,216.79
02.02.2018 22:00,36400.00,33203.60,190.00,17964.60,17964.70,33823.38,121.05,0.00,0.00,0.00,0.00,1195.80,0.00,0.00,234.04
02.02.2018 23:00,35400.00,32625.60,137.00,17326.20,17326.20,32675.80,125.00,0.00,0.00,0.00,0.00,180.73,0.00,0.00,0.02
03.02.2018 00:00,33900.00,30152.00,201.64,16795.50,16795.50,30780.46,131.74,0.00,0.00,0.00,0.00,931.80,0.00,0.00,195.63
03.02.2018 01:00,31800.00,27870.20,179.98,15860.80,15860.80,28506.35,179.98,152.67,0.00,0.00,21.69,0.00,0.00,0.00,0.00
03.02.2018 02:00,30200.00,33397.90,140.00,16393.60,16393.50,27196.13,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03.02.2018 03:00,29400.00,32648.00,159.66,15985.80,15985.90,26264.22,159.66,32.70,0.00,0.00,4.03,0.00,0.00,0.00,0.00
03.02.2018 04:00,29000.00,32443.60,159.65,15961.30,15961.40,26035.87,159.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03.02.2018 05:00,29200.00,32655.40,149.95,16066.70,16066.60,26168.35,149.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03.02.2018 06:00,29700.00,25365.40,172.99,17200.80,17200.80,26582.10,170.00,0.00,0.00,0.00,0.00,389.33,0.00,0.00,86.09
03.02.2018 07:00,30800.00,26006.90,149.94,17502.40,17502.30,27417.77,149.94,326.50,0.00,0.00,62.83,359.82,0.00,0.00,84.59
